Model,Fuel
Airbus A330-200,3.32
Airbus A330neo-800,2.75
Airbus A330neo-900,2.48
Airbus A340-300,3.49
Airbus A350-900,2.39
Airbus A350-900,2.81
Airbus A380,3.27
Airbus A380,3.16
Boeing 747-400,3.34
Boeing 747-8,2.82
Boeing 747-8,3.35
Boeing 777-200ER,3.08
Boeing 777-200ER,3.09
Boeing 777-200LR,3.25
Boeing 777-300ER,2.91
Boeing 777-300ER,3.11
Boeing 777-9X,2.85
Boeing 787-8,2.77
Boeing 787-9,2.49
Boeing 787-9,2.31
Boeing 787-9,3.08
Airbus A320,2.43
Airbus A321NeoLR,2.43
Airbus A330-200,3.11
Airbus A330-300,2.98
Airbus A330neo-900,2.42
Airbus A340-300,3.25
Boeing 737 MAX-8,2.13
Boeing 737 MAX-9,2.53
Boeing 747-400,3.24
Boeing 747-8,2.65
Boeing 757-200W,3
Boeing 767-200ER,3.34
Boeing 767-200ER,3.25
Boeing 767-200ER,2.75
Boeing 767-300ER,3.09
Boeing 767-300ER,3.09
Boeing 767-300ER,2.56
Boeing 767-400ER,2.95
Boeing 767-400ER,2.44
Boeing 767-400ER,2.43
Boeing 777-200,2.8
Boeing 777-200ER,2.89
Boeing 777-300,2.68
Boeing 787-8,2.26
Boeing 787-8,2.68
Boeing 787-9,2.37
Irkut MC-21,2.33
